timestamps,property_id,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,pred_price,price
2025-06-12 11:34:52.589722789,2066749906,37.811874,-122.36554,2.0,3.0,1354.0,1909.0,,3079241.61,2585000.0
2025-06-12 13:32:48.112925700,15949109,34.966038,-120.423386,2.0,2.0,320.0,1246.0,,766735.4,399900.0
2025-06-12 15:30:43.636128612,15449925,35.114456,-120.59346,3.0,3.0,480.0,1496.0,5030.0,703803.8,719000.0
2025-06-12 17:28:39.159331524,64676476,33.7539,-117.987495,3.0,2.0,135.0,1326.0,,260906.9,179900.0
2025-06-12 19:26:34.682534436,106106065,31.719181,-93.17111,3.0,3.0,97.0,2454.0,4.81,246469.64,240000.0
2025-06-12 21:24:30.205737347,18167104,33.465168,-117.11645,4.0,3.0,355.0,1999.0,7405.0,711027.32,709999.0
2025-06-12 23:22:25.728940259,28490241,30.051607,-95.5047,3.0,2.0,133.0,2158.0,6773.58,280222.07,288000.0
2025-06-13 01:20:21.252143171,23259926,45.67487,-122.65559,2.0,1.0,227.0,944.0,,248699.97,214900.0
2025-06-13 03:18:16.775346082,38585440,47.823475,-122.21049,2.0,2.0,450.0,884.0,,405516.0,398000.0
2025-06-13 05:16:12.298548994,137795633,34.168858,-116.37874,,,,,0.424,48918.0,8000.0
2025-06-13 07:14:07.821751906,2070546603,41.181408,-88.181725,,,,,1.5,47953.0,40000.0
2025-06-13 09:12:03.344954818,48738823,47.387367,-122.02074,2.0,1.0,436.0,2060.0,4.1432,884798.78,899999.0
2025-06-13 11:09:58.868157729,235071817,32.948997,-94.982086,,,,,10.73,186755.1,124900.0
2025-06-13 13:07:54.391360641,2068580058,34.71702,-106.6817,,,,,0.25,22574.05,1200.0
2025-06-13 15:05:49.914563553,222360163,42.25691,-88.92891,,,,,0.58,62449.0,52900.0
2025-06-13 17:03:45.437766465,333010655,32.44725,-111.229996,4.0,2.0,206.0,1823.0,6534.0,381838.46,376990.0
2025-06-13 19:01:40.960969376,2066589469,,,,0.0,,,10018.8,71283.12,54000.0
2025-06-13 20:59:36.484172288,2068457807,34.53413,-94.93575,,0.0,,,77.0,383060.37,288338.0
2025-06-13 22:57:32.007375200,96019016,38.61855,-121.47356,,,,,0.5,179512.0,199500.0
2025-06-14 00:55:27.530578112,2067870949,,,,,,,8712.0,44402.0,30000.0
2025-06-14 02:53:23.053781023,16756078,33.024067,-116.80587,4.0,4.0,286.0,2756.0,0.464,775619.44,789900.0
2025-06-14 04:51:18.576983935,2065582627,,,,,,,0.26,79398.66,79500.0
2025-06-14 06:49:14.100186847,317302167,30.18464,-93.40974,,,,,0.92,90322.5,85000.0
2025-06-14 08:47:09.623389759,2068588263,29.760708,-98.01826,4.0,4.0,152.0,2719.0,5662.8,415700.3,415240.0
2025-06-14 10:45:05.146592670,111075784,32.989594,-112.15135,3.0,2.0,319.0,1567.0,1.6541,501324.78,500000.0
2025-06-14 12:43:00.669795582,2072757835,29.8686,-95.78264,4.0,3.0,206.0,2789.0,,579412.39,576990.0
2025-06-14 14:40:56.192998494,84315061,34.228027,-95.61383,3.0,2.0,79.0,1192.0,10018.0,91960.0,95000.0
2025-06-14 16:38:51.716201406,248437261,45.462975,-122.49905,4.0,2.0,330.0,2040.0,9583.2,684401.19,675000.0
2025-06-14 18:36:47.239404317,99543699,33.013634,-117.141266,3.0,3.0,830.0,2047.0,,1897327.19,1700000.0
2025-06-14 20:34:42.762607229,2068375107,33.614872,-112.32173,,,,,1.19,484794.84,699000.0
2025-06-14 22:32:38.285810141,61180001,21.505207,-157.99738,2.0,1.0,338.0,812.0,22.781,332964.0,275000.0
2025-06-15 00:30:33.809013052,2066665832,45.52039,-122.5393,2.0,2.0,390.0,820.0,,345871.0,319900.0
2025-06-15 02:28:29.332215964,89407484,30.038654,-98.146805,3.0,2.0,277.0,1674.0,0.299,474326.6,465000.0
2025-06-15 04:26:24.855418876,2068632654,41.652714,-88.25802,4.0,3.0,182.0,2872.0,0.29,548900.4,524840.0
2025-06-15 06:24:20.378621788,2065658689,38.06257,-92.77283,2.0,1.0,215.0,900.0,0.27,194626.0,194000.0
2025-06-15 08:22:15.901824699,336772868,29.271757,-98.58187,5.0,3.0,103.0,2542.0,6098.4,275327.7,261900.0
2025-06-15 10:20:11.425027611,2067692086,,,,,,,0.558,68932.19,71941.0
